admin_tag,final_call_type
NULL,PROPERTY - FOUND PROPERTY
NULL,PROPERTY - FOUND PROPERTY (NON-SPD SIN)
NULL,PROPERTY - LOST OR MISSING
NULL,PROPERTY - MISSING PROPERTY
NULL,PROPERTY DEST (DAMG)
NULL,PROPERTY DEST (DAMG) - GRAFFITI (INCLUDES GANG)
NULL,PROWLER - GENERAL
NULL,PROWLER - TRESPASS
NULL,PROWLER - TRESPASS  PARKS EXCLUSION
NULL,RAPE
NULL,RAPE - KNOWN SUSPECT (ACQUAINTANCE)
NULL,RAPE - UNKNOWN SUSPECT (STRANGER)
NULL,REQUEST TO WATCH
NULL,ROBBERY (INCL STRONG ARM)
NULL,ROBBERY - ARMED
NULL,ROBBERY - CRITICAL (INCLUDES STRONG ARM)
NULL,ROBBERY - STRONG ARM
NULL,SERVICE - WELFARE CHECK
NULL,SEX IN PUBLIC PLACE (INCL MASTURBATION)
NULL,SEX OFFENDER - FAILURE TO REGISTER
NULL,SEX OFFENSES (NON-RAPE) - FAILURE TO REGISTER
NULL,SEX OFFENSES (NON-RAPE) - LEWD CONDUCT
NULL,SEX OFFENSES (RAPE) - MOLESTING
NULL,SFD - ASSIST ON CRITICAL FIRE OR MEDIC RESPONSE
NULL,SFD - ASSIST ON FIRE OR MEDIC RESPONSE
NULL,SHOPLIFT - THEFT
NULL,SHOTS HEARD - DELAY
NULL,SHOTS HEARD - IN PROGRESS
Non-Patrol,STADIUM EVENT ASSIGNMENT
NULL,SUICIDE - CRITICAL
NULL,SUICIDE - SUICIDAL PERSON AND ATTEMPTS
NULL,SUSPICIOUS CIRCUM. - BUILDING (OPEN DOOR  ETC)
NULL,SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON
NULL,SUSPICIOUS CIRCUM. - SUSPICIOUS VEHICLE
NULL,SUSPICIOUS PERSON  VEHICLE  OR INCIDENT
NULL,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW
NULL,SWATTING
Non-Patrol,TEST CALL ONLY
NULL,THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS)
NULL,THEFT - ALL OTHER
NULL,THEFT - AUTO ACCESSORIES
NULL,THEFT - BICYCLE
NULL,THEFT - CAR PROWL
NULL,THEFT - SHOPLIFT
NULL,THEFT OF SERVICES
NULL,THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING)
NULL,TRAF - ELUDING POLICE
NULL,TRAFFIC - ASSIST MOTORIST
NULL,TRAFFIC - BICYCLE VIOLATION
NULL,TRAFFIC - BLOCKING ROADWAY
NULL,TRAFFIC - BLOCKING TRAFFIC
NULL,TRAFFIC - BO SIGNALS AND DOWN SIGNS
NULL,TRAFFIC - COMMUNITY TRAFFIC COMPLAINT (CTC)
NULL,TRAFFIC - D.U.I.
NULL,TRAFFIC - MOVING VIOLATION
NULL,TRAFFIC - MV COLLISION INVESTIGATION
NULL,TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR)
NULL,TRAFFIC - PEDESTRIAN VIOLATION
NULL,TRAFFIC - REFUSE TO STOP (PURSUIT)
NULL,TRAFFIC - ROAD RAGE
NULL,TRAFFIC - SCHOOL ZONE ENFORCEMENT
NULL,TRAFFIC - TRAFFIC CONTROL (SPECIAL EVENTS)
NULL,TRAFFIC STOP - OFFICER INITIATED ONVIEW
NULL,TREES DOWN  OBSTRUCTING PUBLIC PROP (NO HAZ)
NULL,TRESPASS
NULL,TRU - FRAUD
NULL,TRU - SUSPICIOUS CIRCUMSTANCES
NULL,TRU - THREATS
NULL,UNKNOWN - ANI/ALI - LANDLINE (INCLUDES OPEN LINE)
NULL,UNKNOWN - ANI/ALI - WRLS PHNS (INCL OPEN LINE)
NULL,UNKNOWN - COMPLAINT OF UNKNOWN NATURE
NULL,VICE - GAMBLING
NULL,VICE - LIQUOR (BUSINESS ESTABLISHMENT)
NULL,VICE - OTHER
NULL,VICE - PROSTITUTION
NULL,WARRANT - FELONY PICKUP
NULL,WARRANT - MISD PICKUP
NULL,WARRANT - SEARCH. CAUTION (EXCL NARCOTICS)
NULL,WARRANT - SEARCH. EXECUTED  SECURED
NULL,WARRANT PICKUP - FROM OTHER AGENCY
NULL,WARRANT SERVICES - FELONY
NULL,WARRANT SERVICES - MISDEMEANOR
NULL,WEAPN - GUN DEADLY WPN (NO THRTS/ASLT/DIST)
NULL,WEAPON  PERSON WITH - GUN
NULL,WEAPON PERSON WITH - OTHER WEAPON
NULL,WIRES DOWN (PHONE  ELECTRICAL ETC.)
