Reactive Patrol Demand,NARCOTICS - NARS REPORT
Reactive Patrol Demand,NARCOTICS - OTHER
Reactive Patrol Demand,NARCOTICS - VIOLATIONS (LOITER  USE  SELL  NARS)
Reactive Patrol Demand,NO ANSWER WHEN CALLED
Reactive Patrol Demand,NOISE - ANIMAL (INCLUDES BARKING DOGS)
Reactive Patrol Demand,NOISE - GENERAL
Reactive Patrol Demand,NUISANCE
Reactive Patrol Demand,OBS - ANIMAL - ASSIST ANIMAL CONTROL OFCR
Reactive Patrol Demand,OBS - ANIMAL - IP/JO - BITE
Reactive Patrol Demand,OBS - AUTO THEFT-IP/JO - VEHICLE  PLATES  TABS
Reactive Patrol Demand,OBS - BURG - IP/JO - COMM BURG (INCLUDES SCHOOLS)
Reactive Patrol Demand,OBS - DOA - CASUALTY  DEAD BODY
Reactive Patrol Demand,OBS - DOWN - CHECK FOR PERSON DOWN
Reactive Patrol Demand,OBS - EXPLOSION - IP/JO
Reactive Patrol Demand,OBS - FIGHT - IP - PHYSICAL (NO WEAPONS)
Reactive Patrol Demand,OBS - FIGHT - VERBAL/ORAL (NO WEAPONS)
Reactive Patrol Demand,OBS - INJURED - IP/JO - PERSON/INDUSTRIAL ACCIDENT
Reactive Patrol Demand,OBS - IP/JO - RACIAL  POLITICAL  SEXUAL MOTIVATION
Reactive Patrol Demand,OBS - MVC - NON INJURY  BLOCKING
Reactive Patrol Demand,OBS - MVC - UNK INJURIES
Reactive Patrol Demand,OBS - MVC - WITH INJURIES (INCLUDES HIT AND RUN)
Reactive Patrol Demand,OBS - NOISE - DISTURBANCE (PARTY  ETC)
Reactive Patrol Demand,OBS - PROWLER
Reactive Patrol Demand,OBS - RAPE - IP/JO
Reactive Patrol Demand,OBS - REPORT  NON INJ/NON BLKG OR AFTER FACT INJ
Reactive Patrol Demand,OBS - SAMPLE / TEST CALL ONLY
Reactive Patrol Demand,OBS - SUSPICIOUS PACKAGE
Reactive Patrol Demand,OBS - UNKNOWN - ANI/ALI - PAY PHN (INCL OPEN LINE)
Reactive Patrol Demand,OBS WEAPN-IP/JO-GUN DEADLY WPN (NO THRT/ASLT/DIST)
,OFF DUTY EMPLOYMENT
Reactive Patrol Demand,ORDER  - SERVICE OF DV COURT ORDER
Reactive Patrol Demand,ORDER - ASSIST DV VIC W/SRVC OF COURT ORDER
Reactive Patrol Demand,ORDER - CRITICAL VIOLATION OF DV COURT ORDER
Reactive Patrol Demand,ORDER - VIOLATING DV COURT ORDER
Reactive Patrol Demand,ORDER - VIOLATION OF COURT ORDER (NON DV)
Organizational / Out-of-Service Workload,OUT AT RANGE
Organizational / Out-of-Service Workload,OUT OF CAR/NO REASON GIVEN
